Date,Receipt,Description,Amount
10/22/2020,,SP * THROWLIGHTS    EMERYVILLE          CA,26.72
10/21/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
10/19/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
10/16/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-59.50
10/16/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-35.70
10/16/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-25.97
10/16/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-21.62
10/16/2020,,DOLLARTREE 000006263AUSTIN              TX,3.25
10/16/2020,,DOLLARTREE 000006263AUSTIN              TX,5.41
10/16/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.84
10/14/2020,,GLOW-LEDS           AUSTIN              TX,16.74
10/14/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.93
10/14/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.05
10/13/2020,,Amazon Marketplace,17.31
10/13/2020,,Amazon Marketplace,44.36
10/12/2020,,Amazon Marketplace,13.30
10/12/2020,,Amazon Marketplace,43.29
10/12/2020,,AMAZON MUSIC*MK5L47D888-802-3080        WA,1.07
10/12/2020,,PIRATE SHIP POSTAGE JACKSON             WY,1.96
10/12/2020,,PIRATE SHIP POSTAGE JACKSON             WY,5.40
10/11/2020,,Amazon Marketplace,7.57
10/11/2020,,Amazon Marketplace,35.67
10/09/2020,,Amazon Marketplace,25.85
10/08/2020,,Amazon Marketplace,25.97
10/08/2020,,Amazon Marketplace,70.32
10/06/2020,,Amazon Marketplace,10.81
10/06/2020,,PIRATE SHIP POSTAGE JACKSON             WY,1.00
10/05/2020,,PIRATE SHIP POSTAGE JACKSON             WY,8.71
10/04/2020,,Amazon Marketplace,14.82
10/03/2020,,Amazon Marketplace,127.80
10/02/2020,,AMAZON.COM          SEATTLE             WA,53.88
10/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.76
10/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.76
10/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.05
10/01/2020,,THE HOME DEPOT      AUSTIN              TX,13.81
09/30/2020,,GLOW-LEDS           AUSTIN              TX,18.04
09/25/2020,,Amazon Marketplace,35.70
09/24/2020,,Amazon Marketplace,13.99
