Transaction Date,Post Date,Description,Category,Type,Amount
09/28/2020,09/29/2020,Amazon.com,Shopping,Return,124.48
09/22/2020,09/23/2020,Amazon.com,Shopping,Return,13.40
09/21/2020,09/22/2020,Amazon.com,Shopping,Return,161.29
09/17/2020,09/18/2020,Amazon.com,Shopping,Return,151.54
09/08/2020,09/09/2020,Amazon.com,Shopping,Return,147.20
09/08/2020,09/09/2020,Amazon.com,Shopping,Return,86.59
09/08/2020,09/09/2020,Amazon.com,Shopping,Return,39.73
07/06/2020,07/07/2020,Amazon.com,Shopping,Return,11.78
02/03/2020,02/04/2020,Amazon.com,Shopping,Return,54.60
01/30/2020,01/31/2020,Amazon.com,Shopping,Return,6.43
05/05/2020,05/06/2020,Amazon.com*2H1H56SG3,Shopping,Sale,-183.62
10/16/2020,10/18/2020,Amazon.com*2T3334T61,Shopping,Sale,-25.99
10/23/2020,10/25/2020,Amazon.com*2T4VT62V1,Shopping,Sale,-41.29
01/15/2020,01/16/2020,Amazon.com*3Q8FP7I23,Shopping,Sale,-7.64
04/23/2020,04/24/2020,Amazon.com*6031Q2UT3,Shopping,Sale,-14.06
04/11/2020,04/12/2020,Amazon.com*BT8QT2RT3,Shopping,Sale,-7.14
05/01/2020,05/03/2020,Amazon.com*JY5I66ZW3,Shopping,Sale,-32.46
09/23/2020,09/23/2020,Amazon.com*M426270D0,Shopping,Sale,-14.70
09/18/2020,09/18/2020,Amazon.com*M42JL8GW1,Shopping,Sale,-13.40
09/19/2020,09/20/2020,Amazon.com*M44DW9EM2,Shopping,Sale,-108.22
09/15/2020,09/16/2020,Amazon.com*M459T1F42,Shopping,Sale,-97.41
09/21/2020,09/22/2020,Amazon.com*M492G53H0,Shopping,Sale,-124.48
09/15/2020,09/16/2020,Amazon.com*M497J6A61,Shopping,Sale,-16.18
06/02/2020,06/03/2020,Amazon.com*M706Q5Y42,Shopping,Sale,-77.20
08/02/2020,08/03/2020,Amazon.com*MF7813GP1,Shopping,Sale,-10.45
07/28/2020,07/28/2020,Amazon.com*MF9BL2461,Shopping,Sale,-9.20
07/08/2020,07/09/2020,Amazon.com*MJ3398SA1,Shopping,Sale,-22.18
07/08/2020,07/08/2020,Amazon.com*MJ4EU2671,Shopping,Sale,-30.99
10/08/2020,10/09/2020,Amazon.com*MK15W2MT2,Shopping,Sale,-73.60
10/08/2020,10/09/2020,Amazon.com*MK4V916W1,Shopping,Sale,-39.73
10/08/2020,10/09/2020,Amazon.com*MK6032G70,Shopping,Sale,-73.60
08/28/2020,08/30/2020,Amazon.com*MM3JK3DC0,Shopping,Sale,-86.59
08/27/2020,08/28/2020,Amazon.com*MM3N278V0,Shopping,Sale,-161.29
08/24/2020,08/24/2020,Amazon.com*MM3NE7BP2,Shopping,Sale,-39.73
08/28/2020,08/30/2020,Amazon.com*MM7RV86P0,Shopping,Sale,-26.65
08/24/2020,08/25/2020,Amazon.com*MM9236PP0,Shopping,Sale,-520.88
08/28/2020,08/30/2020,Amazon.com*MM93S9RS2,Shopping,Sale,-151.54
09/01/2020,09/02/2020,Amazon.com*MM9BF5I80,Shopping,Sale,-6.48
08/24/2020,08/24/2020,Amazon.com*MM9NV5BH2,Shopping,Sale,-292.20
06/28/2020,06/29/2020,Amazon.com*MS1UR1732,Shopping,Sale,-11.78
06/20/2020,06/21/2020,Amazon.com*MS2VX15W1,Shopping,Sale,-16.23
08/29/2020,08/30/2020,Amazon.com*MU7CF7A21,Shopping,Sale,-86.59
09/13/2020,09/14/2020,Amazon.com*MU7EI16C0,Shopping,Sale,-12.98
08/26/2020,08/27/2020,Amazon.com*MU7LW2FI1,Shopping,Sale,-147.20
09/15/2020,09/16/2020,Amazon.com*MU7X077S0,Shopping,Sale,-222.67
07/31/2020,08/02/2020,Amazon.com*MV3IX7W12,Shopping,Sale,-9.20
06/02/2020,06/03/2020,Amazon.com*MY0OY4ES1,Shopping,Sale,-20.44
02/01/2020,02/02/2020,Amazon.com*PB2747GC3,Shopping,Sale,-54.60
05/01/2020,05/03/2020,Amazon.com*YS0C58IV3,Shopping,Sale,-11.90
10/08/2020,10/09/2020,AMZ*Amazon.com,Shopping,Return,73.60
10/08/2020,10/09/2020,AMZ*Amazon.com,Shopping,Return,39.73
10/08/2020,10/09/2020,AMZ*Amazon.com,Shopping,Return,73.60
03/09/2020,03/10/2020,AMZ*EmazingLights Pa,Shopping,Sale,-17.41
10/13/2020,10/13/2020,AMZN Mktp US,Shopping,Return,23.80
10/02/2020,10/04/2020,AMZN Mktp US,Shopping,Return,5.94
10/02/2020,10/04/2020,AMZN Mktp US,Shopping,Return,11.90
10/02/2020,10/04/2020,AMZN Mktp US,Shopping,Return,7.03
09/28/2020,09/29/2020,AMZN Mktp US,Shopping,Return,23.80
09/25/2020,09/25/2020,AMZN Mktp US,Shopping,Return,24.36
09/23/2020,09/23/2020,AMZN Mktp US,Shopping,Return,47.62
09/23/2020,09/23/2020,AMZN Mktp US,Shopping,Return,23.76
09/23/2020,09/23/2020,AMZN Mktp US,Shopping,Return,23.76
09/23/2020,09/23/2020,AMZN Mktp US,Shopping,Return,23.76
09/23/2020,09/23/2020,AMZN Mktp US,Shopping,Return,25.97
09/21/2020,09/22/2020,AMZN Mktp US,Shopping,Return,64.94
09/17/2020,09/18/2020,AMZN Mktp US,Shopping,Return,15.14
09/17/2020,09/18/2020,AMZN Mktp US,Shopping,Return,151.50
09/17/2020,09/18/2020,AMZN Mktp US,Shopping,Return,9.72
09/12/2020,09/13/2020,AMZN Mktp US,Shopping,Return,11.80
09/12/2020,09/13/2020,AMZN Mktp US,Shopping,Return,16.23
09/12/2020,09/13/2020,AMZN Mktp US,Shopping,Return,97.41
09/08/2020,09/09/2020,AMZN Mktp US,Shopping,Return,96.56
09/08/2020,09/09/2020,AMZN Mktp US,Shopping,Return,30.30
09/08/2020,09/09/2020,AMZN Mktp US,Shopping,Return,108.24
09/05/2020,09/06/2020,AMZN Mktp US,Shopping,Return,119.06
08/18/2020,08/19/2020,AMZN Mktp US,Shopping,Return,12.86
08/05/2020,08/06/2020,AMZN Mktp US,Shopping,Return,11.90
08/05/2020,08/06/2020,AMZN Mktp US,Shopping,Return,13.94
08/05/2020,08/06/2020,AMZN Mktp US,Shopping,Return,10.70
08/05/2020,08/06/2020,AMZN Mktp US,Shopping,Return,12.86
08/05/2020,08/06/2020,AMZN Mktp US,Shopping,Return,7.01
08/05/2020,08/06/2020,AMZN Mktp US,Shopping,Return,19.35
07/21/2020,07/22/2020,AMZN Mktp US,Shopping,Return,17.31
07/22/2020,07/22/2020,AMZN Mktp US,Shopping,Return,18.35
07/21/2020,07/22/2020,AMZN Mktp US,Shopping,Return,31.37
07/22/2020,07/22/2020,AMZN Mktp US,Shopping,Return,6.22
07/21/2020,07/22/2020,AMZN Mktp US,Shopping,Return,9.62
07/18/2020,07/19/2020,AMZN Mktp US,Shopping,Return,14.06
07/17/2020,07/19/2020,AMZN Mktp US,Shopping,Return,15.14
07/06/2020,07/07/2020,AMZN Mktp US,Shopping,Return,20.56
07/06/2020,07/07/2020,AMZN Mktp US,Shopping,Return,10.81
06/10/2020,06/10/2020,AMZN Mktp US,Shopping,Return,7.75
06/10/2020,06/10/2020,AMZN Mktp US,Shopping,Return,37.74
06/10/2020,06/10/2020,AMZN Mktp US,Shopping,Return,9.73
06/10/2020,06/10/2020,AMZN Mktp US,Shopping,Return,21.64
06/10/2020,06/10/2020,AMZN Mktp US,Shopping,Return,10.18
05/07/2020,05/07/2020,AMZN Mktp US,Shopping,Return,31.87
05/06/2020,05/07/2020,AMZN Mktp US,Shopping,Return,32.46
05/04/2020,05/04/2020,AMZN Mktp US,Shopping,Return,10.81
