Date,Transaction,Name,Memo,Amount
1/10/2020,DEBIT,aliexpress 408-78555,24204290009001709804942; 05311; 7484;,-11.80
1/14/2020,DEBIT,DKC*DIGI KEY CORP 800-344-4,24692160014100045192835; 05065; 7484;,-21.18
1/15/2020,DEBIT,DKC*DIGI KEY CORP 800-344-4,24692160015100666211855; 05065; 7484;,-16.62
6/18/2020,DEBIT,GOOGLE*DOMAINS INTERNET,24013080170060005957068; 07399;,-12.00
5/11/2020,DEBIT,HOBBY-LOBBY #0045 AUSTIN,24137460130200144243681; 05945;,-3.96
8/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050222172222622753; 04215;,-2.93
8/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050220262208269562; 04215;,-3.05
8/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050220262208283316; 04215;,-2.84
8/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050220262208288398; 04215;,-3.05
8/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050220262208299965; 04215;,-2.84
8/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050220262208507029; 04215;,-2.84
8/12/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050224262242147564; 04215;,-2.76
8/12/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050224262242159346; 04215;,-2.74
8/12/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050224262242290505; 04215;,-2.93
8/12/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050224262242357700; 04215;,-2.93
8/12/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050224262242446156; 04215;,-3.05
8/12/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050224262242808876; 04215;,-2.93
8/13/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050225262252438878; 04215;,-2.84
8/13/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050225262253022598; 04215;,-14.33
8/13/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050225262253063113; 04215;,-2.84
8/14/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050226262261352440; 04215;,-2.93
8/17/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050227262277975449; 04215;,-2.93
8/19/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050231262314319233; 04215;,-2.93
8/19/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050231262314400470; 04215;,-2.93
8/19/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050231262314582020; 04215;,-2.84
8/19/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050231262314725686; 04215;,-2.84
8/19/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050231262315010658; 04215;,-2.84
8/20/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050232262322821146; 04215;,-2.84
8/20/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050232262323146592; 04215;,-2.93
8/20/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050232262323436324; 04215;,-3.05
8/20/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050232262323443643; 04215;,-2.93
8/20/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050232262323591821; 04215;,-2.76
8/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050233262333523797; 04215;,-16.39
8/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050234262349077779; 04215;,-2.84
8/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050234262349301138; 04215;,-2.78
8/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050234262349311772; 04215;,-2.84
8/25/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050237162379363569; 04215;,-2.93
8/25/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050237162379374988; 04215;,-2.84
8/25/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050237162379381645; 04215;,-2.93
8/25/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050237162379390497; 04215;,-2.93
8/25/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050237162379404983; 04215;,-2.93
8/26/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050238262380657295; 04215;,-2.74
8/26/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050238262380740000; 04215;,-3.05
8/27/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050239262392265573; 04215;,-2.84
8/31/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050243172432716754; 04215;,-2.84
8/31/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050243172432852179; 04215;,-2.93
8/31/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050243172432922204; 04215;,-2.93
8/31/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050243172432961434; 04215;,-2.93
8/31/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050241262415433998; 04215;,-2.84
9/1/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050244172440301994; 04215;,-2.84
9/1/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050244172440437509; 04215;,-2.84
9/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050253162532566180; 04215;,-2.84
9/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050253162532598845; 04215;,-3.05
9/10/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050253162533052743; 04215;,-9.00
9/14/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050255152552322265; 04215;,-2.84
9/14/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050255152552363038; 04215;,-3.05
9/16/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050259732599261125; 04215;,-3.05
9/16/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050259732599279242; 04215;,-2.93
9/16/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050259732599291148; 04215;,-2.93
9/17/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050260152603043061; 04215;,-2.93
9/2/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050245262453995276; 04215;,-3.05
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050263152636430688; 04215;,-2.84
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050263152636431462; 04215;,-3.05
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050263152636862054; 04215;,-3.05
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050263152636868572; 04215;,-2.93
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050263152636877573; 04215;,-2.93
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050264732646180578; 04215;,-2.84
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050264732646248946; 04215;,-2.84
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050264732646373082; 04215;,-2.93
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050264732646643971; 04215;,-2.93
9/21/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050262152621831677; 04215;,-2.83
9/22/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050265732650958165; 04215;,-2.78
9/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050267732679867684; 04215;,-2.84
9/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050267732679868492; 04215;,-2.84
9/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050267732679910328; 04215;,-2.74
9/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050267732679918644; 04215;,-2.84
9/24/2020,DEBIT,PIRATE SHIP POSTAGE 844-44558,24717050267152670075833; 04215;,-2.93
